ST	mn_tkt	mn_glnA	mn_gltA	mn_glk	mn_aroE	mn_murI	mn_lepC	mn_gyrA
175	1	2	1	8	4	3	1	1
176	1	1	1	23	1	1	1	1
177	1	25	31	3	1	1	1	1
178	1	1	31	8	4	5	1	6
179	1	2	15	3	1	11	11	1
180	3	8	15	8	29	5	21	1
181	2	2	4	5	4	22	30	1
182	2	2	5	1	27	23	1	1
183	6	3	20	4	4	5	33	4
184	1	1	1	2	2	3	1	1
185	1	2	1	1	19	3	24	1
186	1	2	34	4	2	24	1	21
187	22	2	31	4	4	3	11	1
188	3	2	1	23	30	3	34	1
189	2	3	20	4	5	5	1	22
190	23	8	15	8	2	5	21	1
191	1	1	8	8	31	3	1	1
192	14	1	1	1	2	3	1	1
193	1	2	1	1	2	3	11	1
194	1	2	15	1	13	11	24	1
195	1	1	1	13	2	1	1	1
196	1	1	1	5	2	1	1	1
197	4	1	1	8	2	3	1	1
198	1	2	7	1	14	7	19	1
199	1	2	15	3	1	3	11	1
200	1	2	15	13	1	11	1	3
201	24	2	4	5	4	5	1	1
202	3	2	1	1	4	11	1	1
203	1	2	15	3	1	3	1	4
204	18	23	35	23	14	21	11	21
205	1	3	15	3	4	2	19	1
206	1	1	32	3	4	19	5	4
207	20	2	24	3	4	3	1	1
208	19	2	10	3	8	3	5	1
209	2	2	4	3	4	25	1	4
210	1	2	5	3	14	3	1	23
211	1	16	8	1	2	3	1	1
212	14	2	4	1	2	3	1	24
213	2	2	15	1	14	3	1	10
214	1	2	8	1	14	18	22	15
215	1	14	15	4	4	3	11	1
216	1	1	1	1	18	5	3	1
217	1	1	1	1	17	17	1	9
218	1	14	5	3	7	19	11	1
219	1	14	15	1	2	19	11	9
220	2	2	15	8	4	3	30	1
221	6	5	9	3	17	4	1	3
222	25	2	1	1	9	10	3	1
223	1	14	36	3	32	2	11	1
224	2	3	15	3	4	5	35	1
225	1	14	15	4	4	3	1	1
226	3	2	37	3	4	3	1	1
227	3	8	38	1	7	3	11	1
228	4	1	1	2	2	5	1	1
229	1	1	1	8	11	3	19	1
230	26	2	1	4	33	26	22	1
231	3	3	39	4	34	27	1	1
232	27	9	40	1	14	3	1	1
233	3	9	41	26	34	2	1	1
234	6	4	42	4	5	5	1	4
235	28	2	43	3	8	28	5	1
236	3	8	44	8	2	2	36	1
237	1	1	1	27	11	19	1	1
238	3	1	1	28	14	3	11	1
239	3	9	41	1	34	27	1	1
240	2	3	45	3	11	2	5	4
241	29	5	46	1	2	3	1	1
242	28	1	1	1	4	14	16	1
243	28	2	44	1	7	27	1	1
244	1	2	47	8	1	29	1	3
245	1	2	44	1	7	27	1	25
246	6	3	48	4	27	5	1	26
247	1	1	39	3	1	14	1	1
248	2	2	44	29	2	3	37	1
249	2	5	41	6	2	3	3	1
250	27	9	41	4	14	3	11	1
251	1	2	1	3	2	27	38	3
252	28	2	49	3	8	28	5	1
253	28	2	1	22	1	7	16	1
254	30	2	49	3	8	28	5	1
255	28	2	1	1	1	3	19	1
256	1	9	41	13	4	3	11	1
257	3	2	42	1	2	30	3	1
258	1	1	1	20	22	27	1	1
259	1	22	5	1	1	1	1	26
260	3	2	50	1	18	3	11	1
261	1	3	1	3	1	11	11	26
262	31	1	1	1	1	19	1	19
263	28	3	1	3	1	3	1	1
264	14	1	1	1	11	3	1	26
265	31	5	51	1	23	2	1	1
266	1	1	53	13	1	1	39	1
267	2	2	1	3	4	25	1	4
268	4	26	1	3	2	27	1	3
269	3	9	41	4	14	3	11	1
270	4	1	52	2	4	5	32	1
271	1	3	39	1	25	3	1	1
272	1	2	44	3	1	11	1	3
273	34	3	48	4	5	5	1	4
274	25	2	1	4	4	2	32	1
275	1	3	39	1	36	10	3	1
276	6	3	48	4	4	5	1	4
277	6	1	58	4	5	5	1	4
278	3	2	44	3	1	11	1	3
279	3	2	1	6	18	27	24	27
280	3	5	41	6	4	20	11	1
281	15	2	41	1	4	27	3	11
282	35	2	44	8	4	31	3	1
283	3	27	41	6	2	20	11	1
284	37	19	59	3	2	18	1	15
285	20	2	56	3	4	28	1	1
286	1	1	1	20	22	19	1	1
287	3	2	42	3	2	11	3	1
288	3	21	42	21	2	3	40	19
289	29	2	50	30	2	3	1	1
290	1	1	1	3	2	27	1	3
291	3	10	44	3	41	2	1	1
292	3	14	57	8	2	15	19	1
293	3	2	42	1	21	11	24	1
294	1	2	42	3	16	7	1	1
295	32	1	1	1	22	3	1	1
296	3	9	41	1	2	3	3	10
297	33	1	1	20	4	19	1	1
298	36	5	41	6	2	3	11	1
299	4	1	1	2	2	3	1	1
300	3	5	41	17	20	15	36	1
301	27	2	1	3	7	20	1	1
302	36	27	54	6	4	11	19	1
303	1	3	39	1	4	3	1	1
304	1	2	55	3	16	7	1	1
305	36	5	41	20	4	2	11	10
306	4	1	52	1	2	5	1	1
307	1	14	15	8	35	3	1	1
308	16	2	44	3	1	11	1	3
309	3	3	39	20	4	2	1	10
310	37	2	55	3	16	7	41	1
311	2	9	41	1	11	19	1	1
312	2	2	53	3	4	25	1	4
313	36	5	41	6	18	11	19	1
314	38	5	41	6	2	3	1	1
315	6	3	48	4	4	5	5	4
316	3	1	1	28	18	3	28	1
317	1	2	1	3	2	27	1	1
318	6	2	56	3	4	28	1	1
319	3	5	41	1	2	5	3	1
320	1	2	1	3	2	27	1	3
321	1	1	1	1	18	3	3	1
322	2	2	53	5	4	22	30	1
323	1	2	53	8	37	3	42	1
324	37	2	55	3	11	7	1	1
325	28	2	49	3	3	28	5	1
326	6	3	48	4	5	5	1	4
327	3	14	57	6	17	32	11	1
328	3	9	43	4	2	3	3	10
329	2	2	1	1	27	23	1	1
330	39	1	1	3	38	11	30	1
331	1	14	47	31	39	7	43	1
332	3	14	57	8	2	15	44	1
333	36	5	41	6	40	11	19	1
334	2	2	41	1	2	5	27	1
335	3	5	41	6	2	5	3	1
336	37	3	42	8	11	2	9	3
337	1	3	39	4	2	27	1	1
338	3	2	1	6	4	27	24	27
339	1	5	63	3	4	5	19	1
340	1	1	1	20	11	19	1	1
341	2	5	44	3	18	3	1	1
342	37	2	55	3	16	7	1	1
343	4	1	1	2	4	3	1	1
344	1	1	39	3	1	14	1	28
345	3	5	41	1	2	3	3	1
346	2	2	53	5	4	5	1	4
347	36	5	62	6	18	11	19	1
348	37	16	60	4	2	18	22	15
349	3	2	1	8	2	3	3	3
350	14	2	61	1	2	3	1	29
351	14	2	61	1	2	3	1	1
352	3	14	42	17	20	15	36	1
